time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,0,0,.fix_qua,.zone_num,.zone_letter
2022/02/16/19:11:20.531620,26575,1645056680,529523611,75,671934.191240986,4689609.96323068,5,42,T
2022/02/16/19:11:20.531673,26576,1645056680,529523611,76,671934.191240986,4689609.96323068,5,42,T
2022/02/16/19:11:20.730561,26577,1645056680,728706836,77,671934.299623745,4689610.11841524,5,42,T
2022/02/16/19:11:20.730614,26578,1645056680,728706836,78,671934.299623745,4689610.11841524,5,42,T
2022/02/16/19:11:20.929353,26579,1645056680,927378654,79,671934.432050877,4689610.25303699,5,42,T
2022/02/16/19:11:20.929403,26580,1645056680,927378654,80,671934.432050877,4689610.25303699,5,42,T
2022/02/16/19:11:21.127880,26581,1645056681,125199317,81,671934.536994694,4689610.38568528,5,42,T
2022/02/16/19:11:21.127938,26582,1645056681,125199317,82,671934.536994694,4689610.38568528,5,42,T
2022/02/16/19:11:21.325356,26583,1645056681,323563814,83,671934.59263542,4689610.61453847,5,42,T
2022/02/16/19:11:21.326256,26584,1645056681,323563814,84,671934.59263542,4689610.61453847,5,42,T
2022/02/16/19:11:21.523847,26585,1645056681,521890640,85,671934.722482036,4689610.78138303,5,42,T
2022/02/16/19:11:21.524229,26586,1645056681,521890640,86,671934.722482036,4689610.78138303,5,42,T
2022/02/16/19:11:21.726112,26587,1645056681,725459814,87,671934.85422378,4689610.90466927,5,42,T
2022/02/16/19:11:21.726129,26588,1645056681,725459814,88,671934.85422378,4689610.90466927,5,42,T
2022/02/16/19:11:21.924706,26589,1645056681,922831773,89,671934.977015944,4689610.9887698,5,42,T
2022/02/16/19:11:21.924758,26590,1645056681,922831773,90,671934.977015944,4689610.9887698,5,42,T
2022/02/16/19:11:22.114586,26591,1645056682,113818645,91,671935.077172444,4689611.14820571,5,42,T
2022/02/16/19:11:22.114618,26592,1645056682,113818645,92,671935.077172444,4689611.14820571,5,42,T
2022/02/16/19:11:22.519611,26593,1645056682,517740488,93,671935.429228467,4689611.4036322,5,42,T
2022/02/16/19:11:22.521213,26594,1645056682,517740488,94,671935.429228467,4689611.4036322,5,42,T
2022/02/16/19:11:22.721455,26595,1645056682,719156980,95,671935.597994183,4689611.46548159,5,42,T
2022/02/16/19:11:22.721471,26596,1645056682,719156980,96,671935.597994183,4689611.46548159,5,42,T
2022/02/16/19:11:22.924867,26597,1645056682,922829389,97,671935.73677754,4689611.57669422,5,42,T
