%time,field.header.seq,field.header.stamp,field.header.frame_id,field.magnetic_field.x,field.magnetic_field.y,field.magnetic_field.z
1.64609931614447E+018,24470,0,2.4598784,-0.0749,0.7038,0.1125
1.64609931617059E+018,24471,0,2.6119936,-0.073,0.7057,0.1067
1.64609931619515E+018,24472,0,2.4565504,-0.0729,0.7136,0.1089
1.64609931621979E+018,24473,0,2.4636672,-0.074,0.7037,0.1055
1.64609931624515E+018,24474,0,2.5365504,-0.0731,0.7027,0.109
1.64609931627001E+018,24475,0,2.4852992,-0.074,0.7037,0.1043
1.64609931629479E+018,24476,0,2.478336,-0.073,0.7047,0.1102
1.64609931631984E+018,24477,0,2.5048064,-0.0739,0.7087,0.1136
1.64609931634461E+018,24478,0,2.4774912,-0.072,0.7086,0.1114
1.64609931637003E+018,24479,0,2.5420544,-0.073,0.7106,0.109
1.64609931639441E+018,24480,0,2.437888,-0.073,0.7037,0.1114
1.64609931642005E+018,24481,0,2.5636352,-0.0739,0.7067,0.1113
1.64609931644514E+018,24482,0,2.5091072,-0.074,0.7037,0.1055
1.64609931646953E+018,24483,0,2.4391424,-0.0721,0.7027,0.1103
1.64609931649452E+018,24484,0,2.4989952,-0.073,0.7047,0.1078
1.64609931651947E+018,24485,0,2.4943872,-0.074,0.7047,0.109
1.64609931654428E+018,24486,0,2.4815872,-0.0749,0.7028,0.1078
1.64609931656944E+018,24487,0,2.515968,-0.0721,0.7057,0.1114
1.64609931659408E+018,24488,0,2.464,-0.073,0.7037,0.1114
1.64609931661921E+018,24489,0,2.51264,-0.074,0.7047,0.1137
1.64609931664435E+018,24490,0,2.51392,-0.072,0.7086,0.109
1.64609931666952E+018,24491,0,2.517504,-0.074,0.7037,0.1078
1.64609931669467E+018,24492,0,2.5152512,-0.0749,0.7028,0.1137
1.64609931671957E+018,24493,0,2.4897024,-0.073,0.7096,0.109
1.64609931674486E+018,24494,0,2.5291264,-0.072,0.7126,0.1102
1.64609931676962E+018,24495,0,2.4753152,-0.0749,0.7028,0.1101
1.64609931679428E+018,24496,0,2.4663552,-0.0768,0.7019,0.1124
1.64609931681936E+018,24497,0,2.5080064,-0.0739,0.7106,0.1065
1.64609931684452E+018,24498,0,2.5158656,-0.072,0.7135,0.1078
1.64609931686929E+018,24499,0,2.4771584,-0.074,0.7047,0.1125
1.6460993168943E+018,24500,0,2.501376,-0.074,0.7028,0.1113
1.64609931691895E+018,24501,0,2.464128,-0.074,0.7047,0.1101
1.64609931694424E+018,24502,0,2.5291264,-0.0721,0.7047,0.1103
1.64609931696911E+018,24503,0,2.4870912,-0.073,0.7077,0.109
1.64609931699374E+018,24504,0,2.4634624,-0.0759,0.7038,0.1054
1.64609931701868E+018,24505,0,2.493568,-0.072,0.7126,0.1125
1.64609931704421E+018,24506,0,2.5537024,-0.074,0.7047,0.1101
1.64609931706914E+018,24507,0,2.4926208,-0.0711,0.7076,0.1114
1.64609931709391E+018,24508,0,2.4770048,-0.073,0.7057,0.1078
1.6460993171187E+018,24509,0,2.4786944,-0.073,0.7018,0.1161
1.64609931714424E+018,24510,0,2.5540608,-0.072,0.7076,0.1137
1.64609931716881E+018,24511,0,2.4567552,-0.0749,0.7048,0.1077
1.64609931719342E+018,24512,0,2.461568,-0.073,0.7047,0.1149
1.64609931721922E+018,24513,0,2.5798656,-0.072,0.7106,0.109
1.64609931724434E+018,24514,0,2.512128,-0.073,0.7047,0.1102
1.64609931726919E+018,24515,0,2.4851968,-0.0729,0.7106,0.1101
1.64609931729367E+018,24516,0,2.4476928,-0.0739,0.7067,0.1089
1.64609931731869E+018,24517,0,2.5014528,-0.0711,0.7056,0.1091
1.64609931734371E+018,24518,0,2.5021952,-0.0749,0.7038,0.1125
1.64609931736867E+018,24519,0,2.49664,-0.0731,0.7017,0.1079
1.64609931739382E+018,24520,0,2.515072,-0.073,0.7057,0.1125
1.64609931741831E+018,24521,0,2.4489728,-0.073,0.7077,0.109
1.64609931744441E+018,24522,0,2.6097408,-0.0721,0.7047,0.1091
1.64609931746919E+018,24523,0,2.47808,-0.0739,0.7067,0.1101
1.64609931749343E+018,24524,0,2.4242688,-0.0721,0.7066,0.1079
1.64609931751875E+018,24525,0,2.5313024,-0.0739,0.7067,0.1125
1.64609931754374E+018,24526,0,2.498944,-0.074,0.7037,0.1055
1.64609931756846E+018,24527,0,2.4722944,-0.0711,0.7096,0.1091
1.64609931759332E+018,24528,0,2.4858624,-0.0721,0.7047,0.1091
1.64609931761846E+018,24529,0,2.5142272,-0.074,0.7057,0.1101
1.6460993176428E+018,24530,0,2.4334848,-0.0721,0.7037,0.1114
1.64609931766832E+018,24531,0,2.5526784,-0.0739,0.7048,0.1149
1.64609931769316E+018,24532,0,2.4839168,-0.073,0.7106,0.1066
1.64609931771798E+018,24533,0,2.482048,-0.0749,0.7038,0.1113
1.64609931774379E+018,24534,0,2.5805056,-0.074,0.7047,0.1137
1.6460993177688E+018,24535,0,2.5012736,-0.0721,0.7066,0.1067
1.6460993177937E+018,24536,0,2.4899584,-0.0731,0.7017,0.1102
1.64609931781835E+018,24537,0,2.465152,-0.073,0.7057,0.1067
1.64609931784352E+018,24538,0,2.5163776,-0.0748,0.7097,0.1112
1.64609931786777E+018,24539,0,2.425728,-0.0748,0.7117,0.1088
1.64609931789295E+018,24540,0,2.5178368,-0.074,0.7028,0.1137
1.64609931791763E+018,24541,0,2.4676352,-0.0739,0.7097,0.1077
1.64609931794253E+018,24542,0,2.4902144,-0.073,0.7106,0.1066
1.64609931796895E+018,24543,0,2.6419968,-0.073,0.7067,0.1125
1.64609931799353E+018,24544,0,2.4579328,-0.0739,0.7067,0.1101
1.64609931801874E+018,24545,0,2.5212672,-0.0749,0.7077,0.1089
1.64609931804298E+018,24546,0,2.4236544,-0.073,0.7037,0.109
1.64609931806809E+018,24547,0,2.5115392,-0.0739,0.7077,0.1089
1.64609931809281E+018,24548,0,2.471168,-0.073,0.7057,0.109
1.64609931811774E+018,24549,0,2.4934656,-0.0721,0.7027,0.1056
1.64609931814261E+018,24550,0,2.4873984,-0.0739,0.7057,0.1137
1.6460993181676E+018,24551,0,2.4990208,-0.074,0.7047,0.1078
1.64609931819245E+018,24552,0,2.4844544,-0.0749,0.7038,0.1078
1.64609931821735E+018,24553,0,2.490368,-0.073,0.7047,0.109
1.64609931824277E+018,24554,0,2.5420544,-0.0758,0.7107,0.1123
1.64609931826801E+018,24555,0,2.5235968,-0.0711,0.7106,0.1079
1.64609931829303E+018,24556,0,2.5024768,-0.0721,0.7057,0.1114
1.64609931831793E+018,24557,0,2.4896,-0.074,0.7047,0.1101
1.64609931834267E+018,24558,0,2.473984,-0.073,0.7067,0.1125
1.64609931836707E+018,24559,0,2.4396288,-0.074,0.7047,0.109
1.64609931839222E+018,24560,0,2.5152768,-0.0739,0.7126,0.1077
1.64609931841703E+018,24561,0,2.4812544,-0.073,0.7057,0.1078
1.6460993184416E+018,24562,0,2.456576,-0.0721,0.7027,0.1056
1.64609931846645E+018,24563,0,2.4850944,-0.072,0.7106,0.1067
1.64609931849151E+018,24564,0,2.50624,-0.0739,0.7097,0.1089
1.64609931851721E+018,24565,0,2.5703936,-0.074,0.7038,0.1125
1.64609931854191E+018,24566,0,2.4692736,-0.0749,0.7028,0.1113
1.64609931856683E+018,24567,0,2.4920832,-0.073,0.7037,0.1102
1.64609931859181E+018,24568,0,2.4982016,-0.074,0.7028,0.1066
1.6460993186168E+018,24569,0,2.499072,-0.0749,0.7048,0.1066
1.64609931864146E+018,24570,0,2.4664576,-0.072,0.7066,0.1114
1.64609931866677E+018,24571,0,2.5305344,-0.0712,0.7017,0.1068
1.6460993186919E+018,24572,0,2.5129472,-0.074,0.7057,0.1078
1.64609931871684E+018,24573,0,2.4941824,-0.074,0.7057,0.1078
1.64609931874167E+018,24574,0,2.4825344,-0.073,0.7087,0.1113
1.64609931876817E+018,24575,0,2.6507776,-0.0739,0.7087,0.1101
1.64609931879147E+018,24576,0,2.3291904,-0.0739,0.7077,0.1089
1.64609931881748E+018,24577,0,2.6018048,-0.074,0.7018,0.1055
1.64609931884229E+018,24578,0,2.4810496,-0.0739,0.7067,0.1101
1.64609931886692E+018,24579,0,2.4623104,-0.0721,0.7047,0.1091
1.64609931889205E+018,24580,0,2.5130752,-0.073,0.7096,0.109
1.64609931891687E+018,24581,0,2.48256,-0.0721,0.7037,0.1091
1.6460993189417E+018,24582,0,2.4828416,-0.0749,0.7058,0.1101
1.64609931896653E+018,24583,0,2.4823296,-0.0721,0.7027,0.1067
1.6460993189913E+018,24584,0,2.4771072,-0.073,0.7027,0.1102
1.64609931901599E+018,24585,0,2.4694784,-0.0731,0.7037,0.102
1.64609931904151E+018,24586,0,2.5513472,-0.073,0.7037,0.1102
1.64609931906644E+018,24587,0,2.4939264,-0.073,0.7077,0.1125
1.64609931909198E+018,24588,0,2.5535744,-0.073,0.7057,0.109
1.6460993191169E+018,24589,0,2.4920064,-0.0749,0.7048,0.1089
1.64609931914123E+018,24590,0,2.4325888,-0.0721,0.7047,0.1067
1.64609931916584E+018,24591,0,2.460928,-0.074,0.7037,0.1055
1.64609931919095E+018,24592,0,2.5112064,-0.074,0.7037,0.109
1.64609931921599E+018,24593,0,2.5038336,-0.0721,0.7056,0.1032
1.64609931924043E+018,24594,0,2.444032,-0.073,0.7047,0.109
1.64609931926663E+018,24595,0,2.6202624,-0.073,0.7096,0.1054
1.64609931929183E+018,24596,0,2.5199872,-0.073,0.7037,0.1079
1.64609931931646E+018,24597,0,2.46272,-0.072,0.7086,0.109
1.64609931934141E+018,24598,0,2.4952832,-0.074,0.7037,0.1102
1.64609931936646E+018,24599,0,2.5046528,-0.0721,0.7066,0.1091
1.64609931939126E+018,24600,0,2.480384,-0.0749,0.7058,0.1113
1.64609931941624E+018,24601,0,2.4978688,-0.074,0.7057,0.1066
1.64609931944063E+018,24602,0,2.4397056,-0.0778,0.7019,0.1112
1.64609931946619E+018,24603,0,2.5550336,-0.073,0.7096,0.109
1.64609931949066E+018,24604,0,2.4476672,-0.073,0.7067,0.1055
1.64609931951543E+018,24605,0,2.4768256,-0.072,0.7096,0.109
1.64609931954076E+018,24606,0,2.5325312,-0.0739,0.7107,0.1101
1.64609931956645E+018,24607,0,2.56896,-0.0759,0.7058,0.1065
1.64609931959125E+018,24608,0,2.480896,-0.0721,0.7066,0.1091
1.64609931961609E+018,24609,0,2.4832512,-0.0739,0.7087,0.1101
1.64609931964168E+018,24610,0,2.5589248,-0.0749,0.7087,0.1053
1.64609931966644E+018,24611,0,2.4767488,-0.074,0.7057,0.1101
1.64609931969035E+018,24612,0,2.3904,-0.073,0.7047,0.109
1.64609931971573E+018,24613,0,2.5387264,-0.0739,0.7067,0.1089
1.64609931974062E+018,24614,0,2.4887808,-0.0729,0.7136,0.1077
1.64609931976491E+018,24615,0,2.4289024,-0.0731,0.7027,0.109
1.64609931978972E+018,24616,0,2.4805632,-0.0721,0.7057,0.1079
1.64609931981652E+018,24617,0,2.68032,-0.0749,0.7077,0.1112
1.64609931984059E+018,24618,0,2.4068096,-0.073,0.7067,0.1055
1.64609931986597E+018,24619,0,2.5382656,-0.0749,0.7058,0.1089
1.64609931989048E+018,24620,0,2.4508416,-0.074,0.7037,0.109
1.64609931991622E+018,24621,0,2.573696,-0.073,0.7067,0.109
1.64609931994074E+018,24622,0,2.452736,-0.074,0.7047,0.1078
1.64609931996555E+018,24623,0,2.4803584,-0.073,0.7067,0.1078
1.6460993199908E+018,24624,0,2.524928,-0.0739,0.7087,0.1101
1.6460993200151E+018,24625,0,2.4304896,-0.0721,0.7047,0.1091
1.64609932003966E+018,24626,0,2.4559104,-0.0729,0.7126,0.1066
1.64609932006616E+018,24627,0,2.6498048,-0.0721,0.7057,0.1079
1.6460993200904E+018,24628,0,2.4245248,-0.0721,0.7037,0.1103
1.64609932011554E+018,24629,0,2.5139456,-0.074,0.7037,0.1066
1.64609932014001E+018,24630,0,2.4469504,-0.0729,0.7106,0.1101
1.64609932016518E+018,24631,0,2.5170688,-0.0749,0.7048,0.1125
1.64609932018974E+018,24632,0,2.4553984,-0.073,0.7086,0.1078
1.64609932021461E+018,24633,0,2.4873728,-0.0739,0.7067,0.1101
1.64609932024001E+018,24634,0,2.539904,-0.073,0.7037,0.1079
1.64609932026506E+018,24635,0,2.5047552,-0.074,0.7037,0.1102
1.64609932028974E+018,24636,0,2.4685824,-0.0739,0.7097,0.1066
1.64609932031474E+018,24637,0,2.4991744,-0.0721,0.7027,0.1079
1.64609932034064E+018,24638,0,2.59008,-0.0721,0.7037,0.1091
1.6460993203652E+018,24639,0,2.4562688,-0.073,0.7037,0.1079
1.64609932038978E+018,24640,0,2.4581632,-0.0721,0.7066,0.1091
1.64609932041512E+018,24641,0,2.5335808,-0.072,0.7116,0.109
